team_name,wr,t_wr,ct_wr,p_wr
fur,143/261,74/128,69/133,18/26
g2,143/255,76/132,67/123,13/26
nrg,174/319,91/164,83/155,20/32
100t,231/440,118/211,113/229,14/40
c9,177/350,79/155,98/195,13/32
mibr,173/364,96/179,77/185,12/36
envy,149/304,68/155,81/149,14/26
lev,107/231,51/116,56/115,16/22
eg,131/256,56/121,75/135,13/22
kru,67/164,37/94,30/70,3/16
sen,89/190,46/100,43/90,10/16
loud,56/146,31/85,25/61,8/14
