team_name,wr,t_wr,ct_wr,p_wr
g2,328/608,155/285,173/323,29/56
lev,298/543,157/275,141/268,25/52
nrg,262/489,128/242,134/247,26/46
kru,168/335,81/163,87/172,19/32
100t,232/440,134/235,98/205,25/42
sen,133/274,62/138,71/136,13/24
fur,169/360,89/192,80/168,11/36
envy,113/231,57/109,56/122,15/24
mibr,157/323,82/160,75/163,14/30
loud,141/311,85/164,56/147,15/30
c9,106/253,58/131,48/122,8/24
eg,106/259,53/119,53/140,10/24
