match_id,event,date,map,map_num,player,agent,rating,acs,kills,deaths,assists,plus_minus,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_f,clutches,role,igl,result,kd_ratio,year
312768,m_1_24,2024-03-21,icebox,2,tenz,kayo,0.7,168,14,23,18,-9,0.65,103,0.3,0,3,-3,1,controller,no,l,0.6086956521739131,2024
312768,m_1_24,2024-03-21,icebox,2,sacy,gekko,0.43,87,9,20,1,-11,0.42,61,0.19,0,6,-6,0,scan,no,l,0.45,2024
312768,m_1_24,2024-03-21,sunset,3,johnqt,cypher,1.06,235,21,19,4,2,0.77,169,0.34,4,1,3,4,sentinel,yes,w,1.105263157894737,2024
312768,m_1_24,2024-03-21,sunset,3,tenz,omen,1.01,207,18,20,10,-2,0.65,136,0.28,1,1,0,1,controller,no,w,0.9,2024
312768,m_1_24,2024-03-21,sunset,3,sacy,gekko,0.95,215,18,19,6,-1,0.65,150,0.18,1,3,-2,1,scan,no,w,0.9473684210526315,2024
312768,m_1_24,2024-03-21,sunset,3,zekken,raze,0.73,166,14,21,5,-7,0.54,122,0.25,3,7,-4,1,duelist,no,w,0.6666666666666666,2024
312768,m_1_24,2024-03-21,sunset,3,zellsis,kayo,0.67,160,13,23,17,-10,0.65,100,0.12,2,3,-1,0,flex,no,w,0.5652173913043478,2024
312768,m_1_24,2024-03-22,split,1,zellsis,viper,1.35,271,15,12,10,3,0.72,175,0.18,2,1,1,0,flex,no,l,1.25,2024
312768,m_1_24,2024-03-22,split,1,johnqt,cypher,1.33,265,18,10,4,8,0.89,141,0.27,3,0,3,0,sentinel,yes,l,1.8,2024
312768,m_1_24,2024-03-22,split,1,sacy,skye,0.67,142,8,13,7,-5,0.5,100,0.11,0,2,-2,0,scan,no,l,0.6153846153846154,2024
312768,m_1_24,2024-03-22,split,1,tenz,omen,0.64,139,8,14,13,-6,0.67,89,0.39,1,3,-2,0,controller,no,l,0.5714285714285714,2024
312768,m_1_24,2024-03-22,split,1,zekken,raze,0.57,167,10,15,3,-5,0.56,108,0.13,2,4,-2,0,duelist,no,l,0.6666666666666666,2024
312768,m_1_24,2024-03-22,lotus,2,zekken,raze,1.77,315,23,10,5,13,0.85,197,0.18,6,2,4,0,duelist,no,w,2.3,2024
312768,m_1_24,2024-03-22,lotus,2,johnqt,viper,1.51,240,18,9,6,9,0.9,147,0.29,1,0,1,1,sentinel,yes,w,2.0,2024
312768,m_1_24,2024-03-22,lotus,2,sacy,fade,1.05,196,13,14,13,-1,0.75,146,0.3,1,3,-2,1,scan,no,w,0.9285714285714286,2024
