match_id,event,year,map,player,agent,rating,acs,kills,deaths,assists,plus_minus_kd,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_fkd,clutches
312768,masters_madrid_2024,2024,lotus,tenz,omen,0.53,119,8,/ 15 /,8,-7,75%,78,33%,1,2,-1,0
312768,masters_madrid_2024,2024,breeze,sacy,sova,1.37,272,15,/ 14 /,3,1,81%,173,50%,2,0,2,0
312768,masters_madrid_2024,2024,breeze,johnqt,cypher,0.79,137,9,/ 12 /,2,-3,63%,92,42%,0,1,-1,0
312768,masters_madrid_2024,2024,breeze,zellsis,viper,0.71,134,5,/ 13 /,7,-8,50%,101,35%,0,0,0,0
312768,masters_madrid_2024,2024,breeze,zekken,jett,0.58,150,7,/ 15 /,4,-8,69%,96,25%,3,7,-4,0
312768,masters_madrid_2024,2024,breeze,tenz,kayo,0.19,87,4,/ 16 /,9,-12,75%,53,13%,1,2,-1,0
312768,masters_madrid_2024,2024,lotus,zekken,raze,1.58,326,32,/ 16 /,2,16,85%,205,27%,8,4,4,0
312768,masters_madrid_2024,2024,lotus,tenz,omen,1.39,271,25,/ 16 /,15,9,77%,167,44%,1,0,1,0
312768,masters_madrid_2024,2024,lotus,johnqt,viper,1.3,211,19,/ 13 /,14,6,81%,133,22%,2,1,1,1
312768,masters_madrid_2024,2024,lotus,sacy,fade,0.87,158,13,/ 17 /,14,-4,81%,110,21%,1,2,-1,0
312768,masters_madrid_2024,2024,lotus,zellsis,killjoy,0.81,169,13,/ 18 /,8,-5,77%,114,15%,4,3,1,0
312768,masters_madrid_2024,2024,ascent,zekken,jett,1.71,351,25,/ 10 /,3,15,74%,223,32%,5,5,0,0
312768,masters_madrid_2024,2024,ascent,tenz,omen,1.28,225,16,/ 11 /,13,5,74%,140,35%,4,1,3,1
312768,masters_madrid_2024,2024,ascent,sacy,sova,1.26,216,14,/ 10 /,6,4,84%,133,18%,1,1,0,0
312768,masters_madrid_2024,2024,ascent,johnqt,killjoy,1.26,176,13,/ 8 /,4,5,84%,120,16%,1,0,1,1
312768,masters_madrid_2024,2024,ascent,zellsis,kayo,0.9,131,7,/ 12 /,19,-5,68%,82,13%,1,0,1,0
312768,masters_madrid_2024,2024,split,zekken,raze,0.85,238,13,/ 17 /,6,-4,67%,172,25%,0,4,-4,0
312768,masters_madrid_2024,2024,split,sacy,skye,0.8,177,12,/ 16 /,7,-4,67%,100,29%,2,4,-2,1
312768,masters_madrid_2024,2024,split,zellsis,viper,0.8,181,11,/ 15 /,3,-4,50%,109,19%,0,3,-3,1
312768,masters_madrid_2024,2024,split,johnqt,cypher,0.7,163,9,/ 15 /,2,-6,67%,107,23%,2,1,1,0
312768,masters_madrid_2024,2024,split,tenz,omen,0.52,179,10,/ 18 /,7,-8,72%,119,29%,0,2,-2,0
312768,masters_madrid_2024,2024,sunset,tenz,omen,1.97,345,22,/ 9 /,10,13,94%,214,42%,3,0,3,1
312768,masters_madrid_2024,2024,sunset,johnqt,cypher,1.43,247,15,/ 8 /,4,7,94%,153,28%,2,0,2,1
312768,masters_madrid_2024,2024,sunset,zekken,raze,1.25,318,18,/ 12 /,2,6,81%,192,21%,5,3,2,0
312768,masters_madrid_2024,2024,sunset,zellsis,kayo,1.19,205,11,/ 8 /,12,3,94%,126,17%,1,0,1,0
312768,masters_madrid_2024,2024,sunset,sacy,gekko,1.03,138,8,/ 6 /,8,2,88%,78,21%,1,1,0,0
312768,masters_madrid_2024,2024,breeze,tenz,kayo,1.24,235,16,/ 15 /,12,1,76%,141,28%,3,0,3,1
312768,masters_madrid_2024,2024,breeze,zekken,jett,1.2,260,20,/ 16 /,3,4,67%,152,29%,7,4,3,0
312768,masters_madrid_2024,2024,breeze,zellsis,viper,0.88,164,12,/ 14 /,5,-2,62%,106,30%,1,0,1,0
312768,masters_madrid_2024,2024,breeze,johnqt,cypher,0.75,164,12,/ 15 /,3,-3,71%,102,28%,3,2,1,0
312768,masters_madrid_2024,2024,breeze,sacy,sova,0.68,161,12,/ 16 /,2,-4,67%,104,24%,1,0,1,0
312768,masters_madrid_2024,2024,bind,sacy,skye,1.38,245,23,/ 18 /,14,5,73%,154,27%,4,1,3,0
312768,masters_madrid_2024,2024,bind,zellsis,brimstone,1.11,175,15,/ 15 /,19,0,81%,118,26%,1,2,-1,1
312768,masters_madrid_2024,2024,bind,zekken,raze,1.02,253,21,/ 21 /,7,0,85%,168,13%,6,3,3,0
312768,masters_madrid_2024,2024,bind,tenz,gekko,0.95,178,16,/ 18 /,9,-2,73%,110,28%,4,3,1,0
312768,masters_madrid_2024,2024,bind,johnqt,viper,0.89,144,13,/ 15 /,7,-2,77%,94,24%,1,1,0,0
312768,masters_madrid_2024,2024,ascent,tenz,omen,1.21,225,19,/ 16 /,6,3,76%,151,40%,1,2,-1,1
312768,masters_madrid_2024,2024,ascent,sacy,sova,1.04,191,12,/ 15 /,8,-3,71%,133,19%,2,0,2,0
312768,masters_madrid_2024,2024,ascent,zekken,jett,1.03,251,19,/ 18 /,5,1,62%,157,23%,4,4,0,0
312768,masters_madrid_2024,2024,ascent,johnqt,killjoy,0.89,164,12,/ 14 /,4,-2,76%,122,15%,2,2,0,0
312768,masters_madrid_2024,2024,ascent,zellsis,kayo,0.62,141,9,/ 16 /,12,-7,76%,92,19%,1,3,-2,0
312768,masters_madrid_2024,2024,split,zekken,raze,1.73,366,29,/ 16 /,10,13,83%,240,24%,4,4,0,1
312768,masters_madrid_2024,2024,split,johnqt,cypher,1.33,228,19,/ 14 /,11,5,87%,148,29%,1,0,1,1
312768,masters_madrid_2024,2024,split,tenz,omen,1.08,189,16,/ 15 /,11,1,87%,113,46%,2,3,-1,1
312768,masters_madrid_2024,2024,split,sacy,skye,1,155,14,/ 15 /,10,-1,87%,118,33%,3,1,2,0
312768,masters_madrid_2024,2024,split,zellsis,viper,0.87,184,13,/ 16 /,9,-3,74%,126,28%,3,3,0,0
312768,masters_madrid_2024,2024,icebox,zellsis,killjoy,1.59,268,19,/ 9 /,3,10,89%,183,20%,1,0,1,0
312768,masters_madrid_2024,2024,icebox,johnqt,viper,1.37,190,14,/ 9 /,8,5,89%,129,28%,2,1,1,0
312768,masters_madrid_2024,2024,icebox,tenz,kayo,1.24,278,16,/ 14 /,16,2,95%,185,17%,2,1,1,0
312768,masters_madrid_2024,2024,icebox,sacy,gekko,1.13,202,17,/ 13 /,3,4,84%,118,22%,0,1,-1,0
312768,masters_madrid_2024,2024,icebox,zekken,jett,0.85,183,12,/ 14 /,4,-2,79%,129,21%,6,5,1,0
427996,americas_kickoff_2025,2025,split,n4rrate,breach,1.04,184,12,/ 14 /,12,-2,76%,119,22%,1,1,0,0
427996,americas_kickoff_2025,2025,split,johnqt,tejo,0.98,242,13,/ 15 /,5,-2,65%,148,21%,1,0,1,1
427996,americas_kickoff_2025,2025,split,zellsis,viper,0.75,192,11,/ 14 /,3,-3,59%,125,26%,1,3,-2,0
427996,americas_kickoff_2025,2025,split,zekken,yoru,0.71,196,11,/ 15 /,3,-4,76%,130,11%,2,4,-2,0
427996,americas_kickoff_2025,2025,split,bang,omen,0.44,160,8,/ 16 /,3,-8,71%,126,32%,2,2,0,0
427996,americas_kickoff_2025,2025,bind,johnqt,tejo,1.41,197,16,/ 11 /,7,5,82%,137,32%,1,0,1,0
427996,americas_kickoff_2025,2025,bind,zekken,raze,1.27,229,20,/ 13 /,4,7,86%,151,17%,4,4,0,0
427996,americas_kickoff_2025,2025,bind,bang,viper,1.18,229,19,/ 13 /,5,6,77%,151,34%,2,3,-1,0
427996,americas_kickoff_2025,2025,bind,zellsis,brimstone,0.99,155,11,/ 13 /,9,-2,73%,90,26%,3,2,1,0
427996,americas_kickoff_2025,2025,bind,n4rrate,gekko,0.95,222,16,/ 17 /,8,-1,73%,150,22%,3,0,3,0
427996,americas_kickoff_2025,2025,pearl,johnqt,tejo,1.56,237,22,/ 10 /,3,12,91%,146,25%,1,0,1,0
427996,americas_kickoff_2025,2025,pearl,n4rrate,fade,1.28,231,17,/ 15 /,10,2,86%,172,31%,1,0,1,0
427996,americas_kickoff_2025,2025,pearl,bang,astra,1.18,175,15,/ 13 /,10,2,86%,109,30%,1,1,0,1
427996,americas_kickoff_2025,2025,pearl,zekken,yoru,1.07,227,17,/ 16 /,7,1,77%,147,17%,8,6,2,1
427996,americas_kickoff_2025,2025,pearl,zellsis,vyse,0.85,144,10,/ 14 /,8,-4,86%,105,30%,1,3,-2,1
427996,americas_kickoff_2025,2025,lotus,zekken,yoru,1.07,230,20,/ 16 /,4,4,75%,145,25%,3,6,-3,0
427996,americas_kickoff_2025,2025,lotus,n4rrate,breach,1.03,175,14,/ 17 /,10,-3,75%,128,19%,0,1,-1,1
427996,americas_kickoff_2025,2025,lotus,zellsis,vyse,1.01,205,15,/ 18 /,11,-3,75%,133,17%,3,3,0,0
427996,americas_kickoff_2025,2025,lotus,bang,omen,0.86,184,16,/ 19 /,6,-3,67%,117,29%,2,3,-1,0
427996,americas_kickoff_2025,2025,lotus,johnqt,tejo,0.77,116,9,/ 14 /,5,-5,63%,84,22%,0,3,-3,0
427996,americas_kickoff_2025,2025,pearl,zekken,yoru,1.35,277,23,/ 17 /,11,6,83%,176,20%,5,2,3,0
427996,americas_kickoff_2025,2025,pearl,johnqt,tejo,1.24,197,18,/ 14 /,6,4,79%,136,29%,2,1,1,0
427996,americas_kickoff_2025,2025,pearl,zellsis,vyse,0.95,162,12,/ 13 /,8,-1,67%,101,16%,1,5,-4,0
427996,americas_kickoff_2025,2025,pearl,n4rrate,fade,0.94,160,13,/ 15 /,10,-2,67%,106,15%,1,2,-1,0
427996,americas_kickoff_2025,2025,pearl,bang,astra,0.91,159,14,/ 14 /,6,0,79%,108,34%,2,3,-1,0
427996,americas_kickoff_2025,2025,split,bang,omen,1.27,216,18,/ 13 /,5,5,77%,128,28%,1,1,0,1
427996,americas_kickoff_2025,2025,split,zekken,yoru,1.21,252,18,/ 14 /,6,4,86%,161,26%,7,4,3,1
427996,americas_kickoff_2025,2025,split,johnqt,tejo,1.12,237,18,/ 15 /,5,3,77%,164,26%,2,0,2,0
