match_id,event,opponent,map_name,map_num,round,buy,opp_buy,side,spike_planted,plant_time,fk_time,fk_player,fd_player,round_result,round_win,johnqt_k_pre,reduxx_k_pre,cortezia_k_pre,jonahp_k_pre,jerrwin_k_pre,n4rrate_k_pre,kyu_k_pre,victor_k_pre,johnqt_k_post,reduxx_k_post,cortezia_k_post,jonahp_k_post,jerrwin_k_post,n4rrate_k_post,kyu_k_post,victor_k_post
596404,amer_kickoff_2026,fur,breeze,2,15,f,f,t,1.0,94.0,21,,reduxx,defuse,0,1.0,0.0,0.0,,,0.0,0.0,,1.0,,,,,,,
596404,amer_kickoff_2026,fur,breeze,2,16,f,f,t,0.0,,15,,n4rrate,time_no_plant,0,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,
596404,amer_kickoff_2026,fur,breeze,2,17,sb,f,t,0.0,,68,,kyu,ct_elim,0,1.0,0.0,0.0,,,1.0,0.0,,,,,,,,,
596404,amer_kickoff_2026,fur,breeze,2,18,sb,f,t,1.0,31.0,10,,n4rrate,t_elim,1,0.0,1.0,0.0,,,0.0,0.0,,1.0,,0.0,,,,3.0,
596404,amer_kickoff_2026,fur,breeze,2,19,f,f,t,1.0,54.0,42,n4rrate,,time_no_defuse,1,1.0,0.0,0.0,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,
596404,amer_kickoff_2026,fur,breeze,2,20,f,f,t,1.0,75.0,15,,n4rrate,t_elim,1,1.0,0.0,0.0,,,0.0,0.0,,3.0,,,,,,1.0,
596404,amer_kickoff_2026,fur,breeze,2,21,f,se,t,0.0,,5,,n4rrate,time_no_plant,0,2.0,0.0,0.0,,,0.0,2.0,,,,,,,,,
596404,amer_kickoff_2026,fur,breeze,2,22,f,f,t,1.0,43.0,21,,n4rrate,defuse,0,0.0,0.0,1.0,,,0.0,1.0,,0.0,,0.0,,,,0.0,
596404,amer_kickoff_2026,fur,breeze,2,23,f,f,t,1.0,55.0,8,reduxx,,time_no_defuse,1,0.0,1.0,1.0,,,0.0,2.0,,0.0,,0.0,,,,0.0,
596404,amer_kickoff_2026,fur,breeze,2,24,f,f,t,0.0,,10,,reduxx,ct_elim,0,0.0,0.0,0.0,,,3.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,abyss,1,1,e,e,t,1.0,27.0,15,n4rrate,,t_elim,1,0.0,1.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,,,0.0,2.0,
596410,amer_kickoff_2026,eg,abyss,1,2,sb,e,t,1.0,26.0,23,,,t_elim,1,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,3,sb,f,t,1.0,85.0,21,,n4rrate,defuse,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,
596410,amer_kickoff_2026,eg,abyss,1,4,f,f,t,1.0,34.0,5,,n4rrate,defuse,0,0.0,2.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,,,,0.0,
596410,amer_kickoff_2026,eg,abyss,1,5,f,f,t,1.0,88.0,79,n4rrate,,time_no_defuse,1,0.0,0.0,0.0,,,2.0,1.0,,0.0,0.0,0.0,,,0.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,6,f,f,t,1.0,59.0,25,johnqt,,t_elim,1,1.0,1.0,2.0,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,7,f,se,t,1.0,22.0,31,cortezia,,t_elim,1,0.0,0.0,0.0,,,0.0,0.0,,2.0,1.0,1.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,abyss,1,8,f,f,t,1.0,66.0,92,n4rrate,,t_elim,1,0.0,0.0,0.0,,,0.0,0.0,,1.0,2.0,0.0,,,1.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,9,f,se,t,1.0,50.0,32,n4rrate,,t_elim,1,0.0,0.0,0.0,,,1.0,0.0,,2.0,,2.0,,,0.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,10,f,f,t,1.0,85.0,23,,reduxx,defuse,1,1.0,0.0,0.0,,,0.0,1.0,,0.0,,,,,,0.0,
596410,amer_kickoff_2026,eg,abyss,1,11,f,f,t,1.0,36.0,47,reduxx,,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,2.0,2.0,0.0,,,1.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,12,f,sb,t,1.0,64.0,9,reduxx,,t_elim,0,0.0,2.0,0.0,,,0.0,0.0,,0.0,1.0,0.0,,,2.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,13,e,e,ct,1.0,53.0,30,kyu,,time_no_defuse,0,0.0,0.0,0.0,,,0.0,1.0,,4.0,,,,,0.0,,
596410,amer_kickoff_2026,eg,abyss,1,14,e,sb,ct,0.0,,51,,reduxx,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,abyss,1,15,f,sb,ct,1.0,44.0,12,reduxx,,defuse,1,0.0,1.0,0.0,,,1.0,0.0,,2.0,0.0,1.0,,,,,
596410,amer_kickoff_2026,eg,abyss,1,16,f,f,ct,1.0,84.0,94,reduxx,,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,abyss,1,17,se,f,ct,1.0,75.0,92,,cortezia,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,abyss,1,18,f,f,ct,1.0,34.0,20,,cortezia,defuse,1,1.0,0.0,0.0,,,1.0,1.0,,1.0,1.0,,,,,,
596410,amer_kickoff_2026,eg,abyss,1,19,f,f,ct,1.0,42.0,32,cortezia,,time_no_defuse,0,2.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,,,0.0,1.0,
596410,amer_kickoff_2026,eg,abyss,1,20,se,sb,ct,1.0,100.0,19,cortezia,,defuse,1,1.0,1.0,1.0,,,0.0,0.0,,1.0,0.0,,,,1.0,0.0,
596410,amer_kickoff_2026,eg,abyss,1,21,f,sb,ct,0.0,,33,n4rrate,,ct_elim,1,0.0,1.0,0.0,,,2.0,2.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,1,e,e,t,0.0,,72,,kyu,ct_elim,0,0.0,1.0,1.0,,,1.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,2,e,sb,t,0.0,,53,,reduxx,ct_elim,0,1.0,0.0,0.0,,,1.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,3,f,sb,t,1.0,80.0,69,kyu,,t_elim,1,0.0,0.0,0.0,,,0.0,1.0,,2.0,0.0,1.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,4,f,f,t,0.0,,46,,reduxx,ct_elim,0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,5,se,f,t,1.0,32.0,11,,n4rrate,defuse,0,0.0,1.0,0.0,,,0.0,0.0,,0.0,,1.0,,,,0.0,
596410,amer_kickoff_2026,eg,pearl,2,6,f,f,t,1.0,42.0,48,,reduxx,defuse,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,7,f,f,t,1.0,73.0,61,reduxx,,t_elim,1,0.0,2.0,0.0,,,0.0,0.0,,0.0,3.0,0.0,,,0.0,0.0,
596410,amer_kickoff_2026,eg,pearl,2,8,f,f,t,1.0,69.0,15,reduxx,,t_elim,1,0.0,3.0,0.0,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,9,f,se,t,1.0,54.0,36,johnqt,,defuse,0,1.0,0.0,0.0,,,0.0,1.0,,1.0,,,,,,1.0,
596410,amer_kickoff_2026,eg,pearl,2,10,f,f,t,1.0,27.0,42,,cortezia,time_no_defuse,1,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,0.0,,,1.0,0.0,
596410,amer_kickoff_2026,eg,pearl,2,11,f,se,t,1.0,82.0,60,,cortezia,t_elim,1,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,,,,2.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,12,f,f,t,1.0,45.0,55,,n4rrate,defuse,0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,2.0,
596410,amer_kickoff_2026,eg,pearl,2,13,e,e,ct,1.0,73.0,65,,cortezia,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,14,e,sb,ct,1.0,42.0,19,,kyu,time_no_defuse,0,1.0,0.0,0.0,,,1.0,0.0,,,,,,,0.0,,
596410,amer_kickoff_2026,eg,pearl,2,15,f,f,ct,0.0,,91,reduxx,,time_no_plant,1,0.0,1.0,0.0,,,0.0,1.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,16,f,f,ct,1.0,92.0,80,kyu,,defuse,1,0.0,1.0,1.0,,,0.0,1.0,,1.0,0.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,17,f,sb,ct,1.0,59.0,67,,cortezia,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,,,,2.0,0.0,
